episode,reward,tests_selected,bug_exists,bug_detected,epsilon,accuracy,loss
455,13.235,6,True,True,0.1022,0.8198,4.645324
456,6.118,3,False,False,0.1017,0.8202,3.826088
457,13.235,6,True,True,0.1012,0.8206,3.152267
458,5.235,6,False,False,0.1007,0.821,4.145693
459,13.235,6,True,True,0.1002,0.8214,3.598943
460,6.118,3,False,False,0.0997,0.8217,2.309316
461,6.412,2,False,False,0.0992,0.8221,3.376538
462,6.412,2,False,False,0.0987,0.8225,2.799381
463,13.235,6,True,True,0.0982,0.8229,2.277729
464,6.118,3,False,False,0.0977,0.8233,2.097914
465,6.118,3,False,False,0.0972,0.8237,3.592867
466,-5.882,3,True,False,0.0967,0.8219,2.660927
467,13.824,4,True,True,0.0962,0.8223,2.282257
468,4.647,8,False,False,0.0958,0.8226,3.648154
469,-6.471,5,True,False,0.0953,0.8209,4.569694
470,14.412,2,True,True,0.0948,0.8213,3.474221
471,-7.059,7,True,False,0.0943,0.8195,3.035342
472,-5.882,3,True,False,0.0939,0.8178,3.05538
473,-5.882,3,True,False,0.0934,0.8161,3.873137
474,-5.588,2,True,False,0.0929,0.8143,3.0651
475,6.412,2,False,False,0.0925,0.8147,3.067122
476,6.118,3,False,False,0.092,0.8151,2.917141
477,14.412,2,True,True,0.0915,0.8155,3.901521
478,6.412,2,False,False,0.0911,0.8159,2.96205
479,4.941,7,False,False,0.0906,0.8163,4.481834
480,13.235,6,True,True,0.0902,0.8167,2.996704
481,14.412,2,True,True,0.0897,0.817,3.229189
482,-6.471,5,True,False,0.0893,0.8154,4.237486
483,-6.765,6,True,False,0.0888,0.8137,4.638844
484,6.412,2,False,False,0.0884,0.814,2.678454
485,-6.471,5,True,False,0.0879,0.8124,2.913791
486,5.235,6,False,False,0.0875,0.8128,3.638242
487,14.412,2,True,True,0.0871,0.8131,2.094138
488,4.941,7,False,False,0.0866,0.8135,2.665223
489,4.941,7,False,False,0.0862,0.8139,4.251631
490,6.706,1,False,False,0.0858,0.8143,2.464232
491,6.118,3,False,False,0.0853,0.8147,2.517144
492,5.235,6,False,False,0.0849,0.815,3.280449
493,6.118,3,False,False,0.0845,0.8154,3.402424
494,5.529,5,False,False,0.0841,0.8158,4.384574
495,-7.059,7,True,False,0.0836,0.8141,3.772371
496,4.059,10,False,False,0.0832,0.8145,2.987465
497,13.529,5,True,True,0.0828,0.8149,2.789634
498,4.941,7,False,False,0.0824,0.8153,2.650818
499,5.824,4,False,False,0.082,0.8156,4.282286
500,6.412,2,False,False,0.0816,0.816,3.319772
501,5.235,6,False,False,0.0812,0.8164,2.956771
502,12.647,8,True,True,0.0808,0.8167,2.816067
503,13.235,6,True,True,0.0804,0.8171,2.880828
504,6.412,2,False,False,0.08,0.8175,3.256307
505,5.824,4,False,False,0.0796,0.8178,2.702549
506,14.118,3,True,True,0.0792,0.8182,2.250646
507,6.118,3,False,False,0.0788,0.8185,3.4146
508,5.529,5,False,False,0.0784,0.8189,3.538786
509,-6.471,5,True,False,0.078,0.8173,4.03668
510,-5.588,2,True,False,0.0776,0.8157,3.516083
511,5.824,4,False,False,0.0772,0.816,4.209092
512,5.235,6,False,False,0.0768,0.8164,3.230865
513,5.235,6,False,False,0.0764,0.8168,2.582791
514,5.235,6,False,False,0.076,0.8171,3.422073
